ID;Age;Occupation;Annual_Income;Monthly_Inhand_Salary;Num_Bank_Accounts;Num_Credit_Card;Interest_Rate;Num_of_Loan;Delay_from_due_date;Num_of_Delayed_Payment;Changed_Credit_Limit;Num_Credit_Inquiries;Credit_Mix;Outstanding_Debt;Credit_Utilization_Ratio;Credit_History_Age;Payment_of_Min_Amount;Total_EMI_per_month;Amount_invested_monthly;Payment_Behaviour;Monthly_Balance
0x180e1;23;Writer;29570,45;2389,204167;0;4;1;4;14;0;5,2;0;Good;194,21;36,66807729;25,33;No;62,25754575;185,8109674;Low_spent_Small_value_payments;280,8519035
0x5cc2;39;Lawyer;47634,45;3678,5375;10;6;20;5;17;21;3,16;13;Bad;1626,64;29,84578224;14,42;Yes;170,6618099;215,9580022;Low_spent_Large_value_payments;251,233938
0x1662a;33;Entrepreneur;8135,92;378,9933333;7;5;32;9;35;16;10,62;10;Bad;3080,5;39,37691268;6,75;Yes;33,09635933;26,61178436;Low_spent_Medium_value_payments;258,1911896
0x22fdb;28;Mechanic;32019,26;2610,271667;4;3;15;2;20;11;9,38;7;Standard;1697,41;35,6205254;14;Yes;47,77769516;191,5907561;Low_spent_Small_value_payments;311,6587155
0x249a2;41;Manager;22648,88;1599,406667;6;6;10;2;18;8;7,75;4;Standard;1414,75;36,20969613;18,75;No;28,93580923;105,1446224;Low_spent_Small_value_payments;315,8602351
0x1b82e;37;Entrepreneur;70088,36;6090,696667;6;7;21;9;56;15;23,6;7;Bad;4670,21;27,0025033;13,83;Yes;413,3316484;108,2329887;High_spent_Medium_value_payments;337,5050296
0x254a1;26;Lawyer;80094,96;5874,664947;7;5;34;7;11;16;5,12;6;Bad;2286,06;24,72190476;8,42;Yes;923,60953;47,63910191;High_spent_Large_value_payments;410,5244207
0x7410;41;Journalist;126382,92;10386,91;5;3;9;3;19;8;1,53;0;Good;753,87;35,11691863;22,58;No;248,8965581;240,9498193;High_spent_Medium_value_payments;798,8446227
0x24930;37;Teacher;75982,74;6045,895;8;6;8;2;17;9;8,4;1;Standard;1015,84;34,54502268;21,08;Yes;88,684582;382,8616905;High_spent_Small_value_payments;393,0432275
0x5bbc;33;Mechanic;81402,48;6802,54;7;5;34;9;53;21;5,55;8;Bad;2438,55;40,02175104;15,92;Yes;436,4013434;65,84645556;High_spent_Large_value_payments;418,006201
0x22e52;55;Lawyer;17168,925;1438,74375;4;4;4;2;11;10;8,25;4;Good;708,27;30,50981705;19;No;16,36962189;126,6248347;Low_spent_Large_value_payments;270,8799184
0x13c06;22;Accountant;43062,54;3607,545;6;10;23;2;55;22;19,05;13;Standard;2169,75;39,2095858;15;Yes;47,49981874;194,8589404;Low_spent_Large_value_payments;388,3957409
0x218c2;34;Media_Manager;15333,865;1057,822083;6;3;7;2;20;18;16,55;2;Standard;630,24;36,59654023;28,58;Yes;14,56655931;142,4991226;Low_spent_Small_value_payments;238,7165264
0x17984;26;Scientist;18123,675;1326,30625;7;5;7;2;25;14;9,37;4;Standard;770,41;38,45007155;17,5;No;24,50559363;94,89663696;Low_spent_Medium_value_payments;293,2283944
0xc990;34;Mechanic;58110,06;4683,505;7;8;30;6;62;19;6,26;8;Bad;1621,31;33,35719092;14,08;Yes;277,4881515;387,3014815;Low_spent_Small_value_payments;93,56086698
0x152ef;38;Engineer;16449,27;1089,7725;8;6;20;2;19;12;19,86;4;Standard;1385,18;38,32557855;7,75;Yes;16,59813424;95,67332329;Low_spent_Small_value_payments;286,7057925
0x36a2;44;Journalist;121719;10073,25;4;3;7;2;3;4;8,4;2;Good;1481,99;39,65683953;25,67;No;105,8769474;784,4396366;Low_spent_Medium_value_payments;397,0084159
0x18233;45;Entrepreneur;21370,185;2077,84875;0;6;1;1;7;2;8,5;7;Good;897,82;26,29900395;17,08;No;15,56348736;225,1656103;Low_spent_Small_value_payments;257,0557773
0x119fc;37;Mechanic;14981,39;1461,449167;2;7;5;4;2;6;0,63;4;Good;1122,46;38,07880377;31,83;No;38,11596752;86,94344716;Low_spent_Medium_value_payments;301,085502
0xa7e4;21;Musician;132897,24;11193,77;3;5;7;1;8;1;14,35;4;Good;1473,37;26,04674988;32,83;No;67,30924983;488,4126046;Low_spent_Medium_value_payments;843,6551456
0x1ae42;44;Developer;14705,9;1479,491667;7;5;19;6;6;17;17,91;4;Standard;1190,8;35,95759166;15,67;Yes;57,89304716;59,32368238;High_spent_Small_value_payments;290,7324371
0x214a4;43;Mechanic;99100,29;8025,3575;3;3;8;1;27;13;8,19;5;Standard;696,74;41,64118105;32,83;Yes;50,08104501;686,9684423;Low_spent_Small_value_payments;355,4862627
0x16f2d;25;Media_Manager;16399,77;1114,6475;9;5;29;8;24;23;15,04;9;Bad;4667,4;28,91871157;4,83;Yes;61,99932742;89,49721647;Low_spent_Small_value_payments;249,9682061
0x19d49;26;Architect;64845,8;5574,816667;5;6;12;2;15;11;7,13;6;Standard;528,95;30,5539122;6;Yes;75,9134721;133,9721974;High_spent_Medium_value_payments;597,5959971
0x1810f;43;Media_Manager;67413,2;5824,766667;9;10;16;4;47;11;16,18;12;Standard;1663,58;30,17433999;12,92;Yes;178,8507621;374,804689;High_spent_Small_value_payments;288,8212156
0x35a8;30;Media_Manager;9599,265;618,93875;3;9;21;5;13;20;18,02;8;Standard;1935,7;36,50037977;12,33;Yes;29,10631141;15,22699635;Low_spent_Large_value_payments;287,5605672
0x124ae;54;Accountant;63402,48;5574,54;5;7;2;2;11;9;1,86;0;Good;707,85;24,42538991;16,17;No;55,21913469;458,0333639;Low_spent_Small_value_payments;334,2015014
0x15a0e;44;Journalist;65163;5586,25;3;3;6;5;7;9;18,2;4;Standard;64,66;23,62129433;11,25;Yes;224,5207004;63,64919376;High_spent_Medium_value_payments;520,4551058
0xff90;29;Mechanic;20399,82;1790,985;9;5;15;5;15;16;27,72;9;Bad;4531,3;24,81788045;12,25;Yes;64,3062989;109,1322294;Low_spent_Small_value_payments;295,6599717
0x87f7;55;Mechanic;106251,21;8805,2675;0;4;7;3;11;2;9,39;1;Good;513,1;31,18550372;28,42;No;245,5260121;96,23096561;High_spent_Large_value_payments;778,7697723
0x9efc;40;Entrepreneur;63461,28;5109,44;3;4;6;4;7;18;12,39;5;Standard;1266,31;40,24933844;11,5;Yes;176,6369654;172,5392991;High_spent_Small_value_payments;421,7677354
0x1be89;41;Journalist;49465,98;4256,165;4;4;16;7;22;10;12,69;9;Standard;1694,28;36,04073386;15,92;Yes;252,956095;100,5033929;High_spent_Large_value_payments;312,1570121
0x2a0d;28;Entrepreneur;59751,78;5044,315;7;7;17;4;22;13;16,82;9;Standard;1485,94;39,08412194;16;Yes;116,298417;381,8003564;Low_spent_Medium_value_payments;286,3327266
0x20016;20;Engineer;7039,745;303,6454167;9;5;20;9;48;21;15,92;11;Bad;3703,08;30,37814667;5,67;Yes;43,64275583;15,12704173;Low_spent_Small_value_payments;261,5947441
0x23033;35;Lawyer;64964,1;5199,675;6;6;1;0;19;19;5,21;2;Standard;896,63;23,48132103;26,5;No;0;543,5636269;Low_spent_Small_value_payments;266,4038731
0x2258c;38;Mechanic;7895,62;834,9683333;6;6;28;6;22;15;23,42;6;Bad;4717,53;33,65668613;1,83;Yes;22,96367768;17,56150776;High_spent_Medium_value_payments;292,9716479
0x4761;25;Journalist;32218,68;2813,89;3;5;5;1;1;9;8,18;1;Good;94,27;30,6116184;17;No;24,02792788;28,75833159;High_spent_Large_value_payments;468,6027405
0xa1e3;51;Teacher;69476,14;6016,678333;5;6;1;3;10;8;3,62;4;Good;1305,65;32,2593016;19,83;No;106,6476117;127,6081429;High_spent_Large_value_payments;607,4120788
0x8340;26;Musician;30619,71;1965,121357;5;3;18;0;30;16;3,06;11;Standard;701,44;30,74825363;24,75;Yes;298,5211429;243,7929105;Low_spent_Small_value_payments;272,5713395
0x8262;29;Accountant;130597,17;10775,0975;2;4;6;3;15;5;7,23;0;Good;1451,92;32,76279299;15,42;No;236,2577301;556,4642961;Low_spent_Medium_value_payments;564,7877239
0xc888;50;Mechanic;80191,38;6293,827869;2;3;3;4;7;1;11,94;7;Good;1452,86;40,69314737;27,58;No;762,638055;536,1777181;Low_spent_Large_value_payments;260,3328581
0x3bff;27;Teacher;39005,96;3380,496667;10;10;17;6;49;15;15,4;11;Bad;2845,49;26,13923995;12,75;Yes;102,795791;216,1884738;High_spent_Small_value_payments;279,0654019
0x27d5;20;Doctor;82454;7024,166667;6;7;16;6;48;15;25,94;11;Bad;3085,36;27,31767217;4,17;Yes;234,7033395;144,1530694;High_spent_Large_value_payments;563,5602578
0xfb0f;39;Journalist;19051,66;1491,379865;10;8;15;6;62;15;7,74;10;Bad;2655,37;30,49209979;4,33;Yes;141,3030906;149,6522193;Low_spent_Small_value_payments;224,3669922
0x11b74;21;Musician;64662,04;5532,503333;1;2;2;3;10;12;2,41;4;Good;1376,25;41,31192379;25,58;No;83,84218529;138,0107044;High_spent_Large_value_payments;571,3974437
0x1d154;45;Developer;43456,5;3437,375;2;1;8;0;5;11;0,62;3;Good;389,9;35,74619386;31,33;No;0;270,432939;Low_spent_Small_value_payments;363,304561
0x1af03;41;Developer;21652,195;1510,349583;3;2;10;4;0;0;2,35;1;Good;181,8;31,54395958;29,67;No;40,43567652;190,8240128;Low_spent_Small_value_payments;209,775269
0x15612;54;Doctor;114597,04;9366,753333;7;6;4;4;28;6;10,54;0;Good;926,18;28,27746071;31,17;No;225,9237623;774,6590729;Low_spent_Large_value_payments;206,0924982
0xa686;49;Media_Manager;107761,29;9047,1075;4;5;9;0;5;15;13,56;1;Standard;34,09;28,13108085;17,08;Yes;0;221,8381593;High_spent_Medium_value_payments;932,8725907
0x1b768;50;Journalist;30199,19;2741,599167;2;2;4;4;5;9;0,65;4;Good;1421,82;38,85891393;27,17;No;51,40716591;192,3669895;Low_spent_Large_value_payments;300,3857613
0x22701;34;Entrepreneur;42915,24;3705,27;5;4;10;7;26;20;13,58;5;Standard;2546,8;30,93386262;10,83;Yes;209,694004;78,35523972;High_spent_Large_value_payments;322,4777563
0x15129;26;Architect;30976,75;2864,395833;8;3;1;1;2;5;7,69;5;Good;267,22;37,6059928;25,83;No;23,81773148;258,105239;Low_spent_Small_value_payments;294,5166129
0x1ce14;38;Doctor;66554,31;5744,1925;4;6;15;3;14;20;2,12;5;Standard;485,7;34,62131281;18,75;No;101,9231149;452,9862958;Low_spent_Large_value_payments;289,5098393
0xd734;32;Accountant;134038,64;10878,88667;6;3;18;2;23;18;7,99;6;Standard;1031,51;45,18098449;18,17;Yes;187,9711116;184,8777574;High_spent_Large_value_payments;955,0397976
0x1a9d6;29;Architect;134951,25;11014,9375;1;4;5;4;12;3;1,96;4;Good;496,32;34,67649715;29,08;No;367,8356053;170,0370032;High_spent_Large_value_payments;803,6211416
0xa5de;42;Lawyer;16544,455;1209,704583;1;3;11;0;13;1;5,31;1;Good;217,92;32,19809205;23,67;No;0;42,44906767;High_spent_Medium_value_payments;328,5213907
0x105d8;37;Architect;28496,3;2357,691667;7;10;21;2;15;20;7,06;12;Standard;1513,71;25,38954154;20,33;Yes;45,56510699;214,1543097;Low_spent_Medium_value_payments;256,04975
0x953c;19;Accountant;60801,28;4858,773333;3;7;2;2;10;11;7,39;3;Good;1272,77;38,18965129;22,25;No;89,583483;79,42722163;High_spent_Medium_value_payments;566,8666287
0x18e1;19;Lawyer;73737,36;5936,78;7;3;18;4;20;17;13,92;2;Standard;1219,39;34,81301084;31,33;Yes;214,8134632;153,8744615;High_spent_Medium_value_payments;474,9900753
0x14058;30;Accountant;21663,61;1656,300833;4;5;8;2;16;10;3,64;5;Good;549,88;30,86576361;32,75;No;32,71616123;158,6457285;Low_spent_Small_value_payments;264,2681936
0xc9b3;26;Architect;26976,43;2525,035833;7;7;7;4;26;10;15,26;3;Standard;426,03;33,13705864;25,25;Yes;62,53029961;65,21818321;High_spent_Large_value_payments;364,7551005
0x1880;43;Developer;123732,32;10416,02667;4;3;11;0;15;8;12,92;3;Good;1154,46;32,68645906;27,42;No;0;874,7145585;Low_spent_Medium_value_payments;446,8881082
0x9c84;54;Teacher;62347,86;5016,655;8;7;7;0;11;9;0,78;2;Standard;681,95;40,00662989;23,75;No;0;196,9531976;High_spent_Medium_value_payments;554,7123024
0xc06d;47;Architect;38690,04;3074,17;5;3;16;2;11;14;12,39;7;Standard;590,94;33,0324059;31;Yes;40,09533732;204,4626589;High_spent_Small_value_payments;322,8590038
0x10fc9;33;Entrepreneur;73417,48;6001,123333;7;4;20;4;30;19;14,53;5;Standard;2402,05;29,14792309;11,92;Yes;163,7130565;101,0783065;High_spent_Large_value_payments;575,3209704
0x17dbd;40;Doctor;60379,28;4804,606667;5;6;18;3;15;12;6,83;1;Standard;725,39;38,91532943;17,17;No;90,9063852;125,7692886;High_spent_Medium_value_payments;513,7849929
0x102ae;29;Scientist;21551,57;1774,964167;4;7;6;3;28;16;8,07;0;Good;991,04;30,78469571;15,42;No;49,27280925;30,30168875;High_spent_Medium_value_payments;347,9219187
0x218f5;20;Writer;71535,38;5886,281667;4;7;14;2;22;18;5,26;5;Standard;1349,87;25,66598974;23,75;Yes;118,7256737;608,2007629;Low_spent_Small_value_payments;151,7017301
0x163ea;22;Developer;17169,365;1282,780417;4;3;20;0;25;12;5,65;3;Standard;938,18;29,42978777;30,42;No;0;70,19037469;High_spent_Small_value_payments;318,087667
0xced7;54;Media_Manager;10967,735;738,9779167;5;6;5;0;9;18;19,36;0;Standard;1314,16;32,24382727;28;Yes;0;66,50507631;Low_spent_Small_value_payments;297,3927154
0x19555;51;Doctor;28169,69;2171,474167;7;3;15;0;14;15;10,95;8;Standard;330,54;28,69279131;29,33;No;0;55,70537939;High_spent_Large_value_payments;401,4420373
0x24be6;26;Scientist;32810,76;2984,23;6;10;18;9;31;16;19,08;7;Bad;4229,13;32,69705165;4;Yes;196,7778976;141,8687679;Low_spent_Medium_value_payments;239,7763344
0x256c2;37;Writer;10265,86;761,4883333;6;8;21;2;22;18;7,22;7;Bad;2221,93;38,92099493;6,67;Yes;11,95577064;23,18285791;High_spent_Medium_value_payments;291,0102048
0x9fd3;25;Accountant;66176,67;5809,7225;8;6;19;2;20;19;10,4;5;Standard;750,37;32,74203579;20,33;No;78,20935969;257,7536878;High_spent_Small_value_payments;505,0092026
0x224c5;45;Doctor;36122,51;3108,209167;3;7;20;1;27;14;2,59;4;Standard;893,3;27,88101122;30,5;No;17,20263525;34,55324786;High_spent_Medium_value_payments;509,0650336
0x1c446;21;Scientist;131844,32;10874,02667;6;3;10;1;5;18;14,31;5;Standard;398,2;25,10053857;7,42;Yes;106,7796091;1214,341638;Low_spent_Small_value_payments;56,28141921
0x60a9;41;Journalist;83079,72;6734,31;6;3;5;3;4;13;16,96;11;Standard;780,22;38,16335519;15,33;Yes;170,3640949;477,0240858;Low_spent_Large_value_payments;296,0428193
0x1d767;35;Manager;20107,21;1631,600833;6;6;32;2;10;12;10,4;11;Standard;2544,6;26,73999582;19,17;Yes;27,1063949;38,09657204;High_spent_Medium_value_payments;347,9571164
0x114ef;26;Accountant;83962,92;7148,91;6;7;26;6;62;15;2,97;11;Bad;1978,1;37,31029258;12,67;Yes;416,6088072;276,6610863;High_spent_Medium_value_payments;271,6211065
0x18c8f;32;Entrepreneur;17443,94;1714,661667;10;10;21;5;42;22;21,69;7;Bad;2816,57;37,5593692;11,33;Yes;55,67362562;95,5397859;Low_spent_Large_value_payments;290,2527552
0x19d3c;21;Architect;8392,645;796,3870833;6;8;26;5;23;21;1,49;11;Bad;2947,57;37,37745547;13,42;Yes;22,01998214;68,75177491;Low_spent_Small_value_payments;278,8669513
0xcd0f;27;Entrepreneur;28056,94;2115,078333;4;6;10;2;12;13;16,43;4;Standard;822,94;36,02661297;13,92;Yes;41,74919161;92,29870297;Low_spent_Medium_value_payments;357,4599387
0x11665;26;Accountant;9166,465;517,8720833;9;5;22;3;15;20;15,76;12;Bad;1943,21;24,60541963;12,92;Yes;21,38599662;44,26356006;Low_spent_Small_value_payments;276,1376517
0x7d9e;37;Lawyer;12714,98;979,5816667;4;6;5;4;15;23;7,71;2;Standard;1154,56;32,55494325;22,17;No;22,19752967;25,63333586;Low_spent_Large_value_payments;320,1273011
0x2358;22;Doctor;38539,57;3438,630833;4;2;3;1;4;1;8,42;0;Good;526,62;23,81299083;30,08;No;22,68327917;119,6698477;High_spent_Medium_value_payments;451,5099565
0xfc24;37;Teacher;107595,68;8704,306667;8;4;13;4;6;20;10,1;8;Standard;225,86;31,42251561;11,08;Yes;346,143121;540,8828851;High_spent_Small_value_payments;243,4046605
0xdfbd;41;Doctor;54052,82;4777,401667;4;6;11;3;6;16;13,75;4;Standard;281,77;30,00810215;26,33;Yes;130,8433895;489,1056927;Low_spent_Small_value_payments;147,7910845
0x10cd0;40;Writer;156153,24;13058,77;1;5;7;1;19;4;3,08;1;Good;1074,05;30,61516392;29;No;87,50153102;1012,929132;Low_spent_Medium_value_payments;485,4463369
0x10a26;47;Manager;63068,88;5406,74;2;5;11;3;11;7;11,47;2;Good;348,96;26,89700769;21,08;No;97,05733789;178,0942522;High_spent_Small_value_payments;525,52241
0x1f11b;28;Teacher;39284,17;3072,680833;4;1;3;1;15;2;10,29;4;Good;1274,85;30,66424856;15,83;No;21,46038347;255,4035812;Low_spent_Large_value_payments;300,4041187
0xf915;21;Media_Manager;18053,32;1231,443333;5;6;13;7;19;10;12,06;9;Standard;1262,85;37,47368775;7;Yes;57,00609769;110,3615755;Low_spent_Medium_value_payments;235,7766602
0x10981;29;Manager;38158,8;2846,477896;6;8;30;8;61;16;29,34;12;Bad;2678,85;34,42845724;6,67;Yes;394,8617237;70,33758499;High_spent_Medium_value_payments;230,5127949
